S.no,Dealer Name,Fabrication Number,Product Sub Group,Warranty Type,Model,Customer Name,Fabrication Number,Location,OEM person,Model,ESN,Service data,Service HMR,Category,Segment,Service Engineer,Comm Date,,Inv Date,Latest Service Call,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,,Feb-26,DATE,HMR,LAST SERCICE DETAIL,HMR,Last service date,OF,AFC,AFE,AOS,VK,OF HMR,OF LAST SERVICE DATE,HMR of OF since last service,Days of OF  since last service,HMR DUE,AGEING DUE,AFC HMR,AFC SERVICE DATE,HMR of AFC since last service,Days of AFC  since last service,AFE HMR,AFE SERVICE DATE,HMR of AFE since last service,Days of AFE  since last service,AOS HMR,AOS DATE,HMR of AOS since last service,Days of AOS  since last service,VK HMR,VK DATE,HMR of VK since last service,Days of VK since last service,status,Shifted,Scrapped,Dealer Remarks,Oil R Date,AFC R Date,AFE R Date,MOF R Date,ROF R Date,AOS R Date,RGT R Date,1500 kit R Date,3000 kit R Date
Out of Warranty,A,BVKD163010,DPSAC - SKID (WW),Out of warranty,PG 575S-225,SSK RIG SERVICE,BVKD163010,"KURU, LOHARDAGA",Samarjeet,,HDHM109724,,,A (100% potential spares purchased),"WW END CUSTOMER - 4½""                                                           ",Bikram  Sahoo,06-May-22,06-May-25,04-Mar-22,CC-01852512,,5400,,8060,8278,8560,0,8305,05-02-2026,8305,0,8305,09-02-2026,0,0,0,0,0,0,06-05-2022,8305,1371,,,0,06-05-2022,8305,1371,0,06-05-2022,8305,1371,0,06-05-2022,8305,1371,0,06-05-2022,8305,1371,Active,,,0,08-Feb-26,08-Feb-26,08-Feb-26,08-Feb-26,08-Feb-26,08-Feb-26,08-Feb-26,08-Feb-26,08-Feb-26
Out of Warranty,A,BUFL152860,EPSAC - TROLLEY,Out of warranty,PG 45 E-7,S N SINGH,BUFL152860,"NTPC, TANDWA",Samarjeet,NA,NA,,,A (100% potential spares purchased),,Bikram  Sahoo,07-Jan-22,07-Jan-24,14-Sep-21,CC-01852457,,2930,,3090,3199,3340,0,3135,05-02-2026,3135,0,513,08-05-2023,0,0,0,0,0,0,07-01-2022,3135,1490,,,0,07-01-2022,3135,1490,0,07-01-2022,3135,1490,0,07-01-2022,3135,1490,0,07-01-2022,3135,1490,Active,,,0,07-May-23,07-May-23,,,07-May-23,07-May-23,,,
Out of Warranty,A,BUID162912,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,PLR PROJECTS PVT LTD,BUID162912,"ASHOKA PROJECT PIPARWAR,Chatra",Samarjeet,,MDHM109714,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,11-Jan-22,11-Jan-24,06-Dec-21,CC-01852494,,8540,,8645,8718,8812,0,8645,05-02-2026,8645,0,8735,16-12-2025,0,0,0,0,0,0,11-01-2022,8645,1485,,,0,11-01-2022,8645,1485,0,11-01-2022,8645,1485,0,11-01-2022,8645,1485,0,11-01-2022,8645,1485,Active,,,0,15-Dec-25,15-Dec-25,15-Dec-25,15-Dec-25,15-Dec-25,15-Dec-25,15-Dec-25,15-Dec-25,15-Dec-25
Out of Warranty,A,BUHD121280,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,AFCONS INFRASTRUCTURE LIMITED,BUHD121280,"Bihpur,Bhagalpur, Job No 1332-Kosi Bridge Project, Bihar-853201
",Ajay,,MDHM110392,,,A (100% potential spares purchased),,Debraj Manna,30-Dec-21,30-Dec-23,08-Dec-21,CC-01176198,,,,,2759,2853,0,0,05-02-2026,2853,0,No Service,NO Service,0,0,0,0,0,0,30-12-2021,2853,1498,,,0,30-12-2021,2853,1498,0,30-12-2021,2853,1498,0,30-12-2021,2853,1498,0,30-12-2021,2853,1498,Active,,,Customer delay,,,,,,,,,
Out of Warranty,A,BUID121299,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,AFCONS INFRASTRUCTURE LIMITED,BUID121299,"Post Office Bihpur, District Bhagalpur, Job No 1332-Kosi Bridge Project, Bihar-853201
",Ajay,,MDHM110397,,,A (100% potential spares purchased),,Debraj Manna,30-Dec-21,30-Dec-23,08-Dec-21,CC-01176201,,,,,1336,1336,0,0,05-02-2026,1336,0,No Service,NO Service,0,0,0,0,0,0,30-12-2021,1336,1498,,,0,30-12-2021,1336,1498,0,30-12-2021,1336,1498,0,30-12-2021,1336,1498,0,30-12-2021,1336,1498,Active,,,Customer delay,,,,,,,,,
Out of Warranty,Shifted,ATID121006,DPSAC - SKID (C&M),Out of warranty,PG 330-100,GALA PROTEK LLP,ATID121006,NEPAL,,,LYHM112830,,,B (Below 100% potential spares purchased),,Debraj Manna,19-May-23,19-May-25,26-Apr-23,CC-01210311,,,,,0,,#N/A,#N/A,05-02-2026,#N/A,0,1821,30-10-2023,0,0,0,0,0,0,19-05-2023,#N/A,992,,,0,19-05-2023,#N/A,992,0,19-05-2023,#N/A,992,0,19-05-2023,#N/A,992,0,19-05-2023,#N/A,992,Shifted to Hydrabad (NATIONAL EQUIPMENT AGENGIES),Shifted to Hydrabad (NATIONAL EQUIPMENT AGENGIES),,,29-Oct-23,29-Oct-23,29-Oct-23,29-Oct-23,29-Oct-23,21-Apr-23,,21-Apr-23,21-Apr-23
Out of Warranty,A,BUAD162625,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,MYTHRI INFRASTRUCTURE AND MINING INDIA PVT LTD,BUAD162625,"SUNDAR NAGAR, JAMSHEDPUR",Amit,,MKHM102606,,,A (100% potential spares purchased),,Bikram  Sahoo,05-Jun-21,05-Jun-23,27-Apr-21,CC-01827006,9640,,9980,,0,10622,10595,0,05-02-2026,10622,0,6954,21-03-2024,0,0,0,0,0,0,05-06-2021,10622,1705,,,0,05-06-2021,10622,1705,0,05-06-2021,10622,1705,0,05-06-2021,10622,1705,0,05-06-2021,10622,1705,Active,,,Customer delay,20-Mar-24,20-Mar-24,20-Mar-24,20-Mar-24,20-Mar-24,30-Jul-23,30-Jul-23,30-Jul-23,30-Jul-23
Out of Warranty,A,BUBD162649,DPSAC - TROLLEY (C&M),Out of warranty,PG 500-175,RAJIB KUMAR BHAGAT,BUBD162649,"MIRZA CHOUKI, SAHEBGANJ",Amit,,MKHM102696,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,12-Aug-21,12-Aug-23,30-Jul-21,CC-01852351,,2225,,2280,2316,2363,0,2295,05-02-2026,2295,0,1600,05-12-2023,0,0,0,0,0,0,12-08-2021,2295,1637,,,0,12-08-2021,2295,1637,0,12-08-2021,2295,1637,0,12-08-2021,2295,1637,0,12-08-2021,2295,1637,Active,,,Spurious,04-Dec-23,04-Dec-23,,04-Dec-23,04-Dec-23,,,,
Out of Warranty,A,BVJD162957,DPSAC - TROLLEY (C&M),Out of warranty,PG 500-175,RAJ TRAVELS,BVJD162957,JAMSHEDPUR,Samarjeet,,MCHM111552,20-12-2024,3165,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,02-Apr-22,02-Apr-24,25-Feb-22,CC-01827505,4020,,4230,,0,4658,4640,4700,05-02-2026,4700,0,4700,19-02-2026,0,0,0,0,0,0,02-04-2022,4700,1404,,,0,02-04-2022,4700,1404,0,02-04-2022,4700,1404,0,02-04-2022,4700,1404,0,02-04-2022,4700,1404,Active,,,0,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26
Out of Warranty,A,BVKD163026,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),AKSHARA DRILLERS,BVKD163026,PHUSHRO,Amit,,MDHM109718,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,11-May-22,11-May-24,28-Feb-22,CC-01852535,,4800,,4905,4978,5072,0,4935,05-02-2026,4935,0,4890,24-10-2025,0,0,0,0,0,0,11-05-2022,4935,1365,,,0,11-05-2022,4935,1365,0,11-05-2022,4935,1365,0,11-05-2022,4935,1365,0,11-05-2022,4935,1365,Active,,,0,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25
