S.no,Dealer Name,Fabrication Number,Product Sub Group,Warranty Type,Model,Customer Name,Fabrication Number,Location,OEM person,Model,ESN,Service data,Service HMR,Category,Segment,Service Engineer,Comm Date,,Inv Date,Latest Service Call,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,,Feb-26,DATE,HMR,LAST SERCICE DETAIL,HMR,Last service date,OF,AFC,AFE,AOS,VK,OF HMR,OF LAST SERVICE DATE,HMR of OF since last service,Days of OF  since last service,HMR DUE,AGEING DUE,AFC HMR,AFC SERVICE DATE,HMR of AFC since last service,Days of AFC  since last service,AFE HMR,AFE SERVICE DATE,HMR of AFE since last service,Days of AFE  since last service,AOS HMR,AOS DATE,HMR of AOS since last service,Days of AOS  since last service,VK HMR,VK DATE,HMR of VK since last service,Days of VK since last service,status,Shifted,Scrapped,Dealer Remarks,Oil R Date,AFC R Date,AFE R Date,MOF R Date,ROF R Date,AOS R Date,RGT R Date,1500 kit R Date,3000 kit R Date
,,BQID160467,DPSAC - SKID (WW),Out of warranty,PG 550S-200,Ganapathi Rock Drills/ MGR Infrastrucutes,BQID160467,#N/A,,,,,,A (100% potential spares purchased),MINING                                                                          ,Debraj Manna,28-Dec-17,28-Dec-20,17-Dec-17,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,05-02-2026,#N/A,0,No Service,NO Service,0,0,0,0,0,0,28-12-2017,#N/A,2960,,,0,28-12-2017,#N/A,2960,0,28-12-2017,#N/A,2960,0,28-12-2017,#N/A,2960,0,28-12-2017,#N/A,2960, Active,Shifted to Hydrabad ,,Shifted to Hydrabad ,,,,,,,,,
Out of Warranty,A,BQKD160099,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,JRR PROJECTS,BQKD160099,"BASTAKOLA, DHANBAD",,,HFHM404904,,,A (100% potential spares purchased),,Bikram  Sahoo,19-Mar-17,19-Mar-19,23-Feb-17,CC-01854374,,13600,,13710,13779,13873,0,13740,05-02-2026,13740,0,9880,30-09-2023,0,0,0,0,0,0,19-03-2017,13740,3244,,,0,19-03-2017,13740,3244,0,19-03-2017,13740,3244,0,19-03-2017,13740,3244,0,19-03-2017,13740,3244,Active,,,Inactive,29-Sep-23,29-Sep-23,29-Sep-23,29-Sep-23,29-Sep-23,29-Sep-23,29-Sep-23,29-Sep-23,29-Sep-23
Out of Warranty,C,BQJD120016,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,TRIDEV ENGICON PVT LTD,BQJD120016,"PAKUR, JHARKHAND",,,GWHH430538,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,28-Feb-17,28-Feb-19,06-Feb-17,CC-01856443,,6222,,6222,6222,6222,0,6222,05-02-2026,6222,0,5415,05-12-2023,0,0,0,0,0,0,28-02-2017,6222,3263,,,0,28-02-2017,6222,3263,0,28-02-2017,6222,3263,0,28-02-2017,6222,3263,0,28-02-2017,6222,3263,Active,,,Long idle,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-23,,,,
Out of Warranty,Shifted,BQJD160027,DPSAC - SKID (WW),Out of warranty,PG 550S-200,VENKATESHWARA BOREWELL,BQJD160027,DHANBAD,,,GHHM441267,,,A (100% potential spares purchased),,Debraj Manna,19-Apr-17,19-Apr-20,23-Jan-17,CC-01303418,,,,,0,,#N/A,#N/A,05-02-2026,#N/A,0,8590,05-12-2023,0,0,0,0,0,0,19-04-2017,#N/A,3213,,,0,19-04-2017,#N/A,3213,0,19-04-2017,#N/A,3213,0,19-04-2017,#N/A,3213,0,19-04-2017,#N/A,3213,Shifted to Hydrabad (NATIONAL EQUIPMENT AGENGIES),Shifted to Hydrabad (NATIONAL EQUIPMENT AGENGIES),,,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-23,07-Feb-23,,07-Feb-23,
Out of Warranty,A,BQJD160040,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,JRR PROJECTS,BQJD160040,JHARKHAND,,,GHHM442808,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,19-Mar-17,19-Mar-19,21-Feb-17,CC-01854387,,19400,,19620,19757,19945,0,19680,05-02-2026,19680,0,17590,21-03-2024,0,0,0,0,0,0,19-03-2017,19680,3244,,,0,19-03-2017,19680,3244,0,19-03-2017,19680,3244,0,19-03-2017,19680,3244,0,19-03-2017,19680,3244,Active,,,Inactive,20-Mar-24,20-Mar-24,20-Mar-24,20-Mar-24,20-Mar-24,,,,
Out of Warranty,B,BQJD200011,DPSAC - SKID (WW),Out of warranty,PG 600S-230 WW 6CTA,JWALAMATI ENTERPRISES,BQJD200011,RAMGARH,,,84506204,,,B (Below 100% potential spares purchased),,Bikram  Sahoo,29-Mar-17,29-Mar-20,26-Jan-17,CC-01854410,,11970,,12045,12285,12614,0,12150,05-02-2026,12150,0,11990,25-10-2025,0,0,0,0,0,0,29-03-2017,12150,3234,,,0,29-03-2017,12150,3234,0,29-03-2017,12150,3234,0,29-03-2017,12150,3234,0,29-03-2017,12150,3234,Active,,,Low running,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25
Out of Warranty,A,BQKD160115,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,JRR PROJECTS,BQKD160115,DHANBAD JHARKHAND,,,HCHM404901,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,19-Mar-17,19-Mar-19,06-Mar-17,CC-01854365,,13400,,13455,13489,13536,0,13470,05-02-2026,13470,0,11968,21-03-2024,0,0,0,0,0,0,19-03-2017,13470,3244,,,0,19-03-2017,13470,3244,0,19-03-2017,13470,3244,0,19-03-2017,13470,3244,0,19-03-2017,13470,3244,Active,,,Inactive,20-Mar-24,20-Mar-24,20-Mar-24,20-Mar-24,20-Mar-24,,,,
Out of Warranty,A,BQKD200034,DPSAC - SKID (WW),Out of warranty,PG 600S - 200 WW 6CTA,SATYAM BOREWELL,BQKD200034,CHAS BOKARO,,,84506672,,,A (100% potential spares purchased),,Bikram  Sahoo,16-Mar-17,16-Mar-20,06-Feb-17,CC-01856294,,138220,,138220,138220,138220,0,138220,05-02-2026,138220,0,13330,06-12-2023,0,0,0,0,0,0,16-03-2017,138220,3247,,,0,16-03-2017,138220,3247,0,16-03-2017,138220,3247,0,16-03-2017,138220,3247,0,16-03-2017,138220,3247,Active,,,Spurious,05-Dec-23,05-Dec-23,,05-Dec-23,05-Dec-23,,,,
Out of Warranty,A,BQKD200047,DPSAC - SKID (WW),Out of warranty,PG 600S-230 WW 6CTA,SURAJ MAL OMKAR MAL,BQKD200047,"ASHOK NAGAR, RANCHI",,,94506604,,,A (100% potential spares purchased),,Bikram  Sahoo,01-May-17,01-May-20,17-Apr-17,CC-01844213,,,8780,,0,9137,9125,0,05-02-2026,9137,0,8830,25-10-2025,0,0,0,0,0,0,01-05-2017,9137,3201,,,0,01-05-2017,9137,3201,0,01-05-2017,9137,3201,0,01-05-2017,9137,3201,0,01-05-2017,9137,3201,Active,,,Spourious,24-Oct-25,24-Oct-25,13-Jul-25,24-Oct-25,24-Oct-25,13-Jul-25,13-Jul-25,13-Jul-25,13-Jul-25
Out of Warranty,A,BQKD200048,DPSAC - SKID (WW),Out of warranty,PG 600S-230 WW 6CTA,SURAJMAL ONKARMAL,BQKD200048,"ASHOK NAGAR, RANCHI",,,94506696,,,A (100% potential spares purchased),WW END CUSTOMER                                                                 ,Bikram  Sahoo,09-May-17,09-May-20,23-Apr-17,CC-01844209,,,5920,,0,6250,6240,0,05-02-2026,6250,0,6000,25-10-2025,0,0,0,0,0,0,09-05-2017,6250,3193,,,0,09-05-2017,6250,3193,0,09-05-2017,6250,3193,0,09-05-2017,6250,3193,0,09-05-2017,6250,3193,Active,,,Low running,24-Oct-25,24-Oct-25,08-Apr-25,24-Oct-25,24-Oct-25,08-Apr-25,08-Apr-25,08-Apr-25,08-Apr-25
Out of Warranty,A,BRAD160777,DPSAC - SKID (WW),Out of warranty,PG 550S-200,MAA BOREWELL,BRAD160777,DUMKA,,,JHHM402087,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,11-May-18,11-May-21,10-Apr-18,CC-01854432,,9420,,9530,9599,9693,0,9560,05-02-2026,9560,0,8155,05-12-2023,0,0,0,0,0,0,11-05-2018,9560,2826,,,0,11-05-2018,9560,2826,0,11-05-2018,9560,2826,0,11-05-2018,9560,2826,0,11-05-2018,9560,2826,Active,,,Low running,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-23,09-May-23,,09-May-23,
Out of Warranty,A,BQID160499,DPSAC - SKID (WW),Out of warranty,PG 550S-200,RAJA RIG SERVICE,BQID160499,"DHANBAD, CONT PERSON :MR. IKTEKHAR AHMAD, PH.NO :9431316718",,,HYHM436815,,,A (100% potential spares purchased),,Bikram  Sahoo,12-Jan-18,12-Jan-21,28-Dec-17,CC-01843301,,,7880,,0,7984,7980,0,05-02-2026,7984,0,7890,24-10-2025,0,0,0,0,0,0,12-01-2018,7984,2945,,,0,12-01-2018,7984,2945,0,12-01-2018,7984,2945,0,12-01-2018,7984,2945,0,12-01-2018,7984,2945,Active,,,#N/A,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,02-Jun-25,02-Jun-25,02-Jun-25,02-Jun-25
Out of Warranty,B,BQID160519,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,SRINIVASA REDDY SAKTHI,BQID160519,"TOPA MINES, RAMGARH",,,HVHM434998,,,B (Below 100% potential spares purchased),,Bikram  Sahoo,18-Jan-18,18-Jan-20,29-Dec-17,CC-01830490,,,7170,,0,7589,7575,0,05-02-2026,7589,0,7580,23-01-2026,0,0,0,0,0,0,18-01-2018,7589,2939,,,0,18-01-2018,7589,2939,0,18-01-2018,7589,2939,0,18-01-2018,7589,2939,0,18-01-2018,7589,2939,Active,,,Low running,22-Jan-26,22-Jan-26,22-Jan-26,22-Jan-26,22-Jan-26,22-Jan-26,22-Jan-26,22-Jan-26,22-Jan-26
Out of Warranty,C,BRJD160598,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,ASIF NAIYER,BRJD160598,DALTONGANJ,,,HJHM442776,,,C (Not Buying Spares or buying lubricants),CONSTRUCTION                                                                    ,Bikram  Sahoo,27-Feb-18,27-Feb-20,30-Jan-18,CC-01852573,,4790,,4790,4800,4800,0,4790,05-02-2026,4790,0,4800,22-11-2025,0,0,0,0,0,0,27-02-2018,4790,2899,,,0,27-02-2018,4790,2899,0,27-02-2018,4790,2899,0,27-02-2018,4790,2899,0,27-02-2018,4790,2899,Active,,,Spurious,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25
Out of Warranty,C,BRJD160600,DPSAC - SKID (WW),Out of warranty,PG 500-175,FUTURE MINING TOOLS PVT LTD,BRJD160600,BIHAR,,,NA,,,C (Not Buying Spares or buying lubricants),MINING                                                                          ,Bikram  Sahoo,21-Feb-18,21-Feb-21,04-Feb-18,CC-01827565,7380,,7380,,0,7380,7380,0,05-02-2026,7380,0,5341,17-02-2024,0,0,0,0,0,0,21-02-2018,7380,2905,,,0,21-02-2018,7380,2905,0,21-02-2018,7380,2905,0,21-02-2018,7380,2905,0,21-02-2018,7380,2905,Active,,,Spurious,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,,,,
Out of Warranty,C,BRJD160606,DPSAC - SKID (WW),Out of warranty,PG 500-175,Universal Minetech Corporation,BRJD160606,#N/A,,,,,,C (Not Buying Spares or buying lubricants),CONSTRUCTION                                                                    ,Bikram  Sahoo,21-Feb-18,21-Feb-21,04-Feb-18,CC-01856478,,7830,,8040,8160,8334,0,8095.5,05-02-2026,8095.5,0,No Service,25-09-2018,0,0,0,0,0,0,21-02-2018,8095.5,2905,,,0,21-02-2018,8096,2905,0,21-02-2018,8096,2905,0,21-02-2018,8096,2905,0,21-02-2018,8096,2905,Active,,,Spurious,,,,,,,,,
Out of Warranty,C,BQLD160182,DPSAC - SKID (WW),Out of warranty,PG 500S-175,GANESH ACHARYA,BQLD160182,JAMSHEDPUR,,,HEHM411868,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,28-May-17,28-May-20,08-May-17,CC-01856368,,6700,,6920,7044,7222,0,6977,05-02-2026,6977,0,4285,05-12-2023,0,0,0,0,0,0,28-05-2017,6977,3174,,,0,28-05-2017,6977,3174,0,28-05-2017,6977,3174,0,28-05-2017,6977,3174,0,28-05-2017,6977,3174,Active,,,Long idle,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-23,07-May-23,,07-May-23,
Out of Warranty,C,BRJD160543,DPSAC - SKID (WW),Out of warranty,PG 550S-200,JHARKHAND SANITARY,BRJD160543,CHATRA,,,HWHM433280,,,C (Not Buying Spares or buying lubricants),DRILLING APPLICATION                                                            ,Bikram  Sahoo,06-Feb-18,06-Feb-21,15-Jan-18,CC-01854308,,7520,,7740,7843,8031,0,7740,05-02-2026,7740,0,7780,22-11-2025,0,0,0,0,0,0,06-02-2018,7740,2920,,,0,06-02-2018,7740,2920,0,06-02-2018,7740,2920,0,06-02-2018,7740,2920,0,06-02-2018,7740,2920,Active,,,Spurious,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25
Warranty,B,BXKD164191,DPSAC - SKID (C&M),In Standard Warranty,PG 575-225 (SKID),ABHISHEK SONI,BXKD164191,AMLO PHUSHRO Bokaro,Amit,ALUW06DTI,RPHM102140,19-02-2025,3018,B (Below 100% potential spares purchased),,Bikram  Sahoo,02-Apr-24,02-Apr-26,20-Feb-24,CC-01857065,,5100,,4640,5158,5387,5310,5385,05-02-2026,5385,0,5029,11-11-2025,0,0,0,0,0,0,02-04-2024,5385,674,,,0,02-04-2024,5385,674,0,02-04-2024,5385,674,0,02-04-2024,5385,674,0,02-04-2024,5385,674,Active,,,0,10-Nov-25,10-Nov-25,10-Nov-25,10-Nov-25,10-Nov-25,05-Oct-25,05-Oct-25,05-Oct-25,05-Oct-25
Warranty,B,BWHD163991,DPSAC - SKID (WW),In Standard Warranty,PG 575S-225,Vicky Borewell,BWHD163991,"AURANGABAD, BIHAR",Ajay,ALUW06DTI,NA,#N/A,#N/A,B (Below 100% potential spares purchased),,Bikram  Sahoo,15-Nov-23,15-Nov-26,07-Nov-23,CC-01860591,,1670,1670,1670,1670,1741,1710,1740,05-02-2026,1740,0,0,09-04-2025,0,0,0,0,0,0,15-11-2023,1740,813,,,0,15-11-2023,1740,813,0,15-11-2023,1740,813,0,15-11-2023,1740,813,0,15-11-2023,1740,813,Active,,,0,08-May-25,08-Apr-25,08-Apr-25,08-Apr-25,08-Apr-25,14-Nov-23,08-Apr-24,14-Nov-23,14-Nov-23
Out of Warranty,B,BXJD164130,DPSAC - SKID (C&M),out of Warranty,PG 575-225 (SKID),KRITH ENTERPRISES,BXJD164130,"TANDWA, CHATRA",Samarjit,ALUW06DTI,PCHM122317,07-03-2025,2000,B (Below 100% potential spares purchased),,Bikram  Sahoo,26-Feb-24,26-Feb-26,19-Jan-24,CC-01860348,,2960,2960,2960,2960,3067,3030,3060,05-02-2026,3060,0,0,17-03-2025,0,0,0,0,0,0,26-02-2024,3060,709,,,0,26-02-2024,3060,709,0,26-02-2024,3060,709,0,26-02-2024,3060,709,0,26-02-2024,3060,709,Active,,,0,23-Oct-24,23-Oct-24,23-Oct-24,23-Oct-24,23-Oct-24,23-Oct-24,23-Oct-24,23-Oct-24,23-Oct-24
Warranty,B,BWHD164019,DPSAC - SKID (C&M),In Standard Warranty,PG 575-225 (SKID),RAHUL BOREWELL,BWHD164019,RAMGRAH,Samarjit,ALUW06DTI,PDHM119796,08-05-2025,1349,B (Below 100% potential spares purchased),DRILLING APPLICATION                                                            ,Bikram  Sahoo,23-Jul-24,23-Jul-26,24-Nov-23,CC-01861188,,275,275,275,275,275,275,275,05-02-2026,275,0,No Service,NO Service,0,0,0,0,0,0,23-07-2024,275,562,,,0,23-07-2024,275,562,0,23-07-2024,275,562,0,23-07-2024,275,562,0,23-07-2024,275,562,Active,,,0,22-Aug-24,22-Jul-24,22-Jul-24,22-Jul-24,22-Jul-24,22-Jul-24,22-Jul-24,22-Jul-24,22-Jul-24
Out of Warranty,B,BXKD231814,DPSAC - TROLLEY (C&M),out of Warranty,PG 185-100,DAEWOO- L&T JV,BXKD231814,"RAGHOPUR, PATNA",,KUBOTA V2403,7PQ8403,#N/A,#N/A,B (Below 100% potential spares purchased),,Bikram  Sahoo,24-Feb-24,24-Feb-26,15-Feb-24,CC-01860337,,310,310,310,310,310,310,310,05-02-2026,310,0,No Service,NO Service,0,0,0,0,0,0,24-02-2024,310,712,,,0,24-02-2024,310,712,0,24-02-2024,310,712,0,24-02-2024,310,712,0,24-02-2024,310,712,Active,,,0,23-Feb-24,23-Feb-24,23-Feb-24,23-Feb-24,23-Feb-24,23-Feb-24,23-Feb-24,23-Feb-24,23-Feb-24
Out of Warranty,B,BXJD164143,DPSAC - SKID (C&M),out of Warranty,PG 575-225 (SKID),KRITH ENTERPRISES,BXJD164143,"TANDWA, CHATRA",Samarjit,ALUW06DTI,PRHM123682,#N/A,#N/A,B (Below 100% potential spares purchased),,Bikram  Sahoo,22-Feb-24,22-Feb-26,24-Jan-24,CC-01860304,,3135,3235,3360,3390,3438,3420,3420,05-02-2026,3420,0,0,17-02-2025,0,0,0,0,0,0,22-02-2024,3420,714,,,0,22-02-2024,3420,714,0,22-02-2024,3420,714,0,22-02-2024,3420,714,0,22-02-2024,3420,714,Active,,,0,16-Feb-25,16-Feb-25,16-Feb-25,16-Feb-25,16-Feb-25,16-Feb-25,16-Feb-25,16-Feb-25,16-Feb-25
Warranty,B,BWED163893,DPSAC - SKID (WW),In Standard Warranty,PG 575S-225,SSK RIG SERVICE,BWED163893,"PITHORIA,Ranchi",Samarjit,ALUW06DTI,PHHM111586,30-05-2025,3668,B (Below 100% potential spares purchased),"WW END CUSTOMER - 4½"" & 6½""                                                     ",Bikram  Sahoo,24-Nov-23,24-Nov-26,13-Sep-23,CC-01859028,,3900,3900,3900,3900,4598,4450,4726,05-02-2026,4726,0,4726,09-02-2026,0,0,0,0,0,0,24-11-2023,4726,804,,,0,24-11-2023,4726,804,0,24-11-2023,4726,804,0,24-11-2023,4726,804,0,24-11-2023,4726,804,Active,,,0,28-Dec-25,18-Dec-25,28-Dec-25,18-Dec-25,28-Dec-25,28-Dec-25,28-Dec-25,18-Dec-25,18-Dec-25
Out of Warranty,B,BWHD121813,DPSAC - SKID (C&M),Out of warranty,PG 330-100,SHAILENDRA KUMAR SINGH,BWHD121813,"BARAUNI,Begusarai",Ajay,ALU0W4D,PDHM121471,#N/A,#N/A,B (Below 100% potential spares purchased),,Bikram  Sahoo,07-Dec-23,07-Dec-25,22-Nov-23,CC-01860181,,2415,2460,2530,2591,2685,0,2560,05-02-2026,2560,0,2348,07-08-2025,0,0,0,0,0,0,07-12-2023,2560,791,,,0,07-12-2023,2560,791,0,07-12-2023,2560,791,0,07-12-2023,2560,791,0,07-12-2023,2560,791,Active,,,0,06-Aug-25,06-Aug-25,06-Aug-25,06-Aug-25,06-Aug-25,06-Dec-24,06-Dec-24,06-Dec-24,06-Dec-24
Out of Warranty,B,BXJD121872,DPSAC - TROLLEY (C&M),out of Warranty,PG 430-100,NIVAS YADAV - N K Electronics,BXJD121872,"BHAGALPUR,Bihar",Ajay,ALUW04DTI,PDHM121263,#N/A,#N/A,B (Below 100% potential spares purchased),DRILLING APPLICATION                                                            ,Bikram  Sahoo,15-Feb-24,15-Feb-26,31-Jan-24,CC-01860283,,1335,1385,1450,1450,1705,1595,1800,05-02-2026,1800,0,1490,18-12-2025,0,0,0,0,0,0,15-02-2024,1800,720,,,0,15-02-2024,1800,720,0,15-02-2024,1800,720,0,15-02-2024,1800,720,0,15-02-2024,1800,720,Active,,,0,17-Dec-25,17-Dec-25,17-Dec-25,17-Dec-25,17-Dec-25,17-Dec-25,17-Dec-25,17-Dec-25,17-Dec-25
Out of Warranty,A,BWLD163586,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),BROSHAN INDIA PVT LTD,BWLD163586,"GOPALI CHOWK, DHANBAD",,,PMHM102290,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,14-Jun-23,14-Jun-25,14-Mar-23,CC-01831446,,,5100,,0,5413,0,0,05-02-2026,5413,0,0,13-06-2025,0,0,0,0,0,0,14-06-2023,5413,966,,,0,14-06-2023,5413,966,0,14-06-2023,5413,966,0,14-06-2023,5413,966,0,14-06-2023,5413,966,Active,,,0,19-May-24,12-Jun-25,12-Jun-25,12-Jun-25,12-Jun-25,28-Aug-24,28-Aug-24,28-Aug-24,28-Aug-24
Out of Warranty,A,BULD121094,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,M/s Daewoo-L & T JV,BULD121094,"GANGA BRIDGE, BAKHTIYARPUR, PATNA",,,LMHM115035,,,A (100% potential spares purchased),,Bikram  Sahoo,01-Apr-21,01-Apr-23,16-Mar-21,CC-01826901,2685,,2950,,0,3487,0,0,05-02-2026,3487,0,3050,30-01-2026,0,0,0,0,0,0,01-04-2021,3487,1770,,,0,01-04-2021,3487,1770,0,01-04-2021,3487,1770,0,01-04-2021,3487,1770,0,01-04-2021,3487,1770,Active,,,Low running,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26
Out of Warranty,A,BUAL160585,DPSAC - SKID (C&M),Out of warranty,PG 90E-12.5,EKLAVAYA STONE & MINES PVT. LTD.,BUAL160585,"NAWADA, BIHAR",,NA,NA,,,A (100% potential spares purchased),CONSTRUCTION                                                                    ,Bikram  Sahoo,20-Jul-21,20-Jul-23,26-Apr-21,CC-01852324,,5400,,5615,5761,5949,0,5675,05-02-2026,5675,0,3000,29-12-2023,0,0,0,0,0,0,20-07-2021,5675,1661,,,0,20-07-2021,5675,1661,0,20-07-2021,5675,1661,0,20-07-2021,5675,1661,0,20-07-2021,5675,1661,Active,,,0,28-Dec-23,28-Dec-23,03-Jun-22,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23
Out of Warranty,A,BUJD121040,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,Bimlesh pd. singh,BUJD121040,PATNA,,,NA,,,A (100% potential spares purchased),,Bikram  Sahoo,25-Feb-21,25-Feb-23,29-Jan-21,CC-01826916,3630,,3945,,0,4590,0,0,05-02-2026,4590,0,1697,29-12-2023,0,0,0,0,0,0,25-02-2021,4590,1806,,,0,25-02-2021,4590,1806,0,25-02-2021,4590,1806,0,25-02-2021,4590,1806,0,25-02-2021,4590,1806,Active,,,Spurious,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23
Out of Warranty,B,BRKD120212,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,M/S LIKHITA INFRASTURE,BRKD120212,#N/A,,,,,,B (Below 100% potential spares purchased),,Bikram  Sahoo,06-Apr-18,06-Apr-20,06-Feb-18,CC-01854421,,4660,,4880,5017,5205,0,4940,05-02-2026,4940,0,No Service,NO Service,0,0,0,0,0,0,06-04-2018,4940,2861,,,0,06-04-2018,4940,2861,0,06-04-2018,4940,2861,0,06-04-2018,4940,2861,0,06-04-2018,4940,2861,Active,,,#N/A,07-Sep-25,07-Sep-25,07-Sep-25,07-Sep-25,07-Sep-25,07-Sep-25,07-Sep-25,07-Sep-25,07-Sep-25
Out of Warranty,B,BRKD120213,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,M/S LIKHITA INFRASTURE,BRKD120213,0,,,HWHM434325,,,B (Below 100% potential spares purchased),,Bikram  Sahoo,22-Mar-18,22-Mar-20,06-Feb-18,CC-01830299,4415,,4630,,0,4767,4750,0,05-02-2026,4767,0,2285,17-02-2024,0,0,0,0,0,0,22-03-2018,4767,2876,,,0,22-03-2018,4767,2876,0,22-03-2018,4767,2876,0,22-03-2018,4767,2876,0,22-03-2018,4767,2876,Active,,,Customer delay,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24
Out of Warranty,C,BRLD160724,DPSAC - SKID (WW),Out of warranty,PG 500-175,UNIVERSAL MINETEC CORPORATION,BRLD160724,"SARBARWA, TUMGRAHA",,,HWHM434413,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,23-Mar-18,23-Mar-21,15-Mar-18,CC-01856493,,7000,,7115,7180,7274,0,7145,05-02-2026,7145,0,No Service,29-10-2018,0,0,0,0,0,0,23-03-2018,7145,2875,,,0,23-03-2018,7145,2875,0,23-03-2018,7145,2875,0,23-03-2018,7145,2875,0,23-03-2018,7145,2875,Active,,,Spurious,,,,,,,,,
Out of Warranty,C,BRKD160653,DPSAC - SKID (WW),Out of warranty,PG 550S-200,AMAN ANSARI,BRKD160653,"RAMPUR, LOHARDGA",,,JHHM401820,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,25-Feb-18,25-Feb-21,12-Feb-18,CC-01852551,,6315,,6370,6406,6453,0,6385,05-02-2026,6385,0,4894,20-03-2024,0,0,0,0,0,0,25-02-2018,6385,2901,,,0,25-02-2018,6385,2901,0,25-02-2018,6385,2901,0,25-02-2018,6385,2901,0,25-02-2018,6385,2901,Active,,,Spurious,19-Mar-24,19-Mar-24,19-Mar-24,19-Mar-24,19-Mar-24,19-Mar-24,19-Mar-24,19-Mar-24,19-Mar-24
Out of Warranty,C,BRKD160684,DPSAC - SKID (WW),Out of warranty,PG 550S-200,A Star Borewell,BRKD160684,CHANDIL BAZAR,,,HJHM443785,29-04-2025,3536,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,27-Feb-18,27-Feb-21,25-Feb-18,CC-01827521,6090,,6300,,0,6718,6700,0,05-02-2026,6718,0,3880,05-12-2023,0,0,0,0,0,0,27-02-2018,6718,2899,,,0,27-02-2018,6718,2899,0,27-02-2018,6718,2899,0,27-02-2018,6718,2899,0,27-02-2018,6718,2899,Active,,,Spurious,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-23,14-Mar-23,,14-Mar-23,
Out of Warranty,A,BUKD162535,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,JRR PROJECTS,BUKD162535,"BASTAKOLA, DHANBAD",,,LMHM115369,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,22-Mar-21,22-Mar-23,26-Feb-21,CC-01852294,,12280,,12440,12549,12690,0,12485,05-02-2026,12485,0,12415,24-10-2025,0,0,0,0,0,0,22-03-2021,12485,1780,,,0,22-03-2021,12485,1780,0,22-03-2021,12485,1780,0,22-03-2021,12485,1780,0,22-03-2021,12485,1780,Active,,,Inactive,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25
